type,entry_time,exit_time,entry,exit,reason,bars_held,pnl,balance
SELL,2026-02-05 04:00:00,2026-02-05 07:00:00,71209.01,71223.25,BE,13,-1.29,9997.41
SELL,2026-02-05 15:30:00,2026-02-05 21:00:00,66838.61,64549.42,TRAIL_SL,23,117.05,10113.79
SELL,2026-02-12 16:30:00,2026-02-12 19:30:00,66052.2,66065.41,BE,13,-1.47,10110.86
SELL,2026-02-17 15:00:00,2026-02-17 16:00:00,66861.68,67463.48,SL,5,-103.43,10005.12
SELL,2026-02-23 01:00:00,2026-02-23 01:00:00,66727.12,65760.26,TRAIL_SL,1,157.63,10160.59
SELL,2026-02-23 01:30:00,2026-02-23 01:45:00,65036.99,65050.0,BE,2,-2.53,10155.53
SELL,2026-02-23 17:15:00,2026-02-23 17:15:00,65068.05,65081.07,BE,1,-2.21,10151.12
SELL,2026-02-23 17:45:00,2026-02-23 18:30:00,64454.24,65103.53,SL,4,-103.59,10045.46
SELL,2026-02-23 20:15:00,2026-02-23 21:00:00,63948.77,64627.35,SL,4,-102.4,9941.12
SELL,2026-02-24 05:30:00,2026-02-24 12:45:00,62808.21,62981.64,TIMEOUT,30,-25.02,9914.29
SELL,2026-02-28 07:00:00,2026-02-28 07:30:00,63203.37,63909.88,SL,3,-100.97,9811.5
BUY,2026-03-03 16:30:00,2026-03-03 16:30:00,68842.73,67902.96,SL,1,-99.55,9710.5
BUY,2026-03-04 09:30:00,2026-03-04 14:45:00,71324.26,71362.16,TRAIL_SL,22,4.48,9713.29
BUY,2026-03-04 16:00:00,2026-03-04 23:15:00,73411.55,72523.49,TIMEOUT,30,-91.35,9620.44
SELL,2026-03-08 05:00:00,2026-03-08 05:15:00,66624.02,67025.53,SL,2,-99.53,9517.6
BUY,2026-03-13 13:45:00,2026-03-13 14:30:00,73285.43,73270.78,BE,4,-2.59,9512.41
BUY,2026-03-15 22:45:00,2026-03-15 22:45:00,72405.88,72391.4,BE,1,-3.03,9506.34
BUY,2026-03-17 01:15:00,2026-03-17 03:00:00,75856.05,75093.93,SL,8,-96.97,9407.45
SELL,2026-03-22 11:30:00,2026-03-22 11:45:00,68406.22,68419.9,BE,2,-3.81,9399.83
SELL,2026-03-26 18:00:00,2026-03-26 20:00:00,68473.16,68960.28,SL,9,-96.74,9300.36
SELL,2026-03-27 10:45:00,2026-03-27 15:30:00,66893.2,66535.8,TRAIL_SL,20,35.42,9334.46
SELL,2026-03-27 17:45:00,2026-03-27 23:30:00,65618.57,66240.42,SL,24,-95.38,9237.06
BUY,2026-04-06 09:30:00,2026-04-06 12:00:00,69946.86,69494.84,SL,11,-95.3,9138.82
BUY,2026-04-06 16:15:00,2026-04-06 17:00:00,70088.77,69632.73,SL,4,-94.27,9041.66
BUY,2026-04-07 22:15:00,2026-04-07 23:15:00,70304.05,71777.93,TRAIL_SL,5,210.92,9250.54
BUY,2026-04-09 17:15:00,2026-04-09 18:00:00,72495.75,71906.02,SL,4,-94.82,9153.4
BUY,2026-04-13 19:45:00,2026-04-13 19:45:00,73030.35,73015.75,BE,1,-2.57,9148.27
BUY,2026-04-13 22:15:00,2026-04-13 22:15:00,73768.01,73753.26,BE,1,-2.35,9143.58
BUY,2026-04-13 23:00:00,2026-04-14 01:00:00,74641.97,74006.93,SL,9,-93.62,9047.77
BUY,2026-04-16 20:00:00,2026-04-17 01:15:00,75358.07,74759.2,SL,22,-92.79,8952.65
BUY,2026-04-17 14:00:00,2026-04-17 17:00:00,77355.58,77340.11,BE,13,-1.83,8948.98
BUY,2026-04-22 03:00:00,2026-04-22 05:15:00,77620.22,77623.11,TRAIL_SL,10,0.46,8946.98
BUY,2026-05-04 02:15:00,2026-05-04 03:30:00,79948.68,79932.69,BE,6,-2.56,8941.86
BUY,2026-05-10 16:15:00,2026-05-10 16:15:00,81494.1,81248.4,SL,1,-95.75,8839.76
BUY,2026-05-10 23:15:00,2026-05-11 00:15:00,82416.48,81848.45,SL,5,-91.02,8746.11
BUY,2026-05-11 17:45:00,2026-05-11 18:00:00,81994.41,81963.71,TIMEOUT,2,-5.49,8737.68
